Hk2,Ddt,Srpk1,Crabp2,Atp5g1,Atp7b,Acot13,Actn1,Kdm6b,Tbx3,Hsf2,Actr2,Mdh1,Id2,Ssr1,Hmgcr,Mapk1ip1l,Dpysl2,Spry2,Oxct1,Zscan26,St13,Twf1,Rrn3,Gsk3b,Sod1,Ndufa5,Mpc1,Pim1,Strn,Impact,Dctn4,Pdcd4,Podxl,Acadl,Igfbp5,Ndufa10,Nmt2,Fubp3,Myef2,Mdk,Sall4,Skil,B4galt1,Mier1,Slc2a1,Gnb1,Actb,Tspan12,Cbx3,Abcc9,Sspn,Cox6a2,Acsl4,Adprhl1,Pkm,Amt,Chsy1,Lrrc58,Prtg,Fxyd1,Alpk3,Zfhx3,Fam60a,Arglu1,Wapl,Smpx,Nppa,Poldip3,Usp22,Alkbh5,X4933415A04Rik,Csnk2a2,Cd24a,Rbm15,Tigd2,Apoo.ps,Cited1,Slc39a1,Map1b,Msi1,Tug1,Hmga2,Ado,Sept11,Ndufs8,Wtap,Myl1,Pcnp,Bnip3,Kdelr2,Trim71,Apoo,Mpc1.ps,Ndufab1.ps,Rps19.ps6,Myl7,pseudotime
GSM2033420,21,0,4,2,21,9,1,4,10,4,0,11,25,7,21,2,2,54,2,3,3,13,4,4,15,41,8,0,4,9,11,2,1,2,3,25,5,11,1,1,7,0,0,3,5,10,28,45,1,0,0,0,14,0,0,20,4,3,14,6,7,29,9,3,13,0,1,0,10,23,3,7,10,6,6,0,0,0,3,49,0,5,15,3,11,6,4,25,6,5,5,3,0,0,0,0,303,0.00639267126917575
GSM2033421,2911,13,3014,1,1497,345,134,502,109,0,315,2404,4076,431,7635,197,586,5923,205,127,313,2607,1349,1138,1320,6493,612,249,255,355,1878,698,22,93,462,211,1138,2150,201,382,991,375,465,734,496,1957,2683,5386,872,285,273,98,803,96,395,4863,894,474,961,484,214,1583,363,988,1721,421,2751,2521,2129,3217,253,537,325,1170,865,222,3,66,821,3635,40,2584,431,2406,1856,1031,353,975,982,1274,4298,270,216,73,19,65,30051,2.64230055978592
GSM2033422,1253,6,374,119,1207,611,61,53,69,106,69,1122,1807,913,139,165,86,5784,122,246,355,222,708,436,596,3387,121,33,437,254,561,93,79,316,122,750,302,673,6,39,923,423,184,364,416,1931,1174,6742,281,68,0,1,1007,56,29,5564,63,182,375,259,343,3620,271,208,414,114,71,26,1401,716,243,863,52,142,58,0,0,3,541,1919,1,402,561,346,1131,184,55,1520,258,1220,1732,601,15,11,2,59,46699,0.00640594120323534
GSM2033423,184,18,81,23,114,3,8,17,33,0,16,37,99,0,93,32,26,404,23,17,46,82,36,32,67,221,28,5,22,25,77,6,0,7,3,1,27,74,12,28,71,0,7,13,7,266,102,377,33,3,0,0,67,5,0,774,13,11,43,49,15,202,2,58,32,10,178,533,46,88,30,18,60,17,16,21,0,0,18,135,1,30,25,106,77,59,0,137,60,57,117,25,3,2,1,5,3254,2.49451549464386
GSM2033424,48,18,40,15,150,2,15,15,5,17,2,58,188,68,40,0,6,165,3,20,7,15,22,4,42,171,17,1,9,0,1,0,0,10,16,80,70,23,0,5,111,0,1,46,0,209,47,43,7,1,0,0,144,1,0,315,7,5,8,2,9,119,4,26,26,5,20,0,57,24,19,34,5,49,6,4,0,0,12,36,1,16,31,14,16,19,8,59,23,89,35,22,8,2,2,1,3913,0.00641921113729493
GSM2033425,72,2,70,0,67,0,3,14,14,4,2,52,253,2,40,0,12,71,3,14,44,32,10,7,61,153,11,6,1,40,18,0,7,0,23,209,31,54,2,13,44,4,5,23,21,4,54,283,20,8,0,0,11,8,8,147,17,5,19,0,1,24,0,22,23,4,0,4,17,62,8,37,20,2,12,1,1,1,10,131,0,25,9,53,24,26,0,0,22,36,24,6,7,3,2,0,976,3.69309199827217
GSM2033427,732,76,460,165,363,27,19,83,37,18,26,265,662,846,777,47,121,1480,92,181,191,397,112,269,547,1232,34,17,199,130,252,13,34,104,118,407,277,383,59,46,1012,179,29,81,139,1068,500,8231,327,46,13,0,177,55,42,4660,56,227,287,236,59,1115,120,254,203,56,62,34,370,1344,30,169,149,302,56,64,1,16,110,1384,7,334,388,300,1382,154,88,2268,150,347,407,184,20,4,1,24,8260,0.155707810978307
GSM2033428,231,11,212,0,890,14,0,27,56,0,8,196,635,44,460,102,17,410,32,15,42,246,274,226,208,844,35,8,15,12,564,19,8,4,16,3,253,63,34,31,271,24,55,83,49,169,359,1070,58,22,1,0,233,8,0,1411,100,7,185,40,21,280,11,111,121,10,237,984,46,463,8,84,54,22,25,40,0,49,64,461,0,86,6,49,238,239,2,85,227,151,434,157,26,5,2,27,6817,1.76243751093558
GSM2033429,849,120,920,92,975,239,51,129,27,0,49,358,2132,287,809,21,52,2430,27,127,306,512,323,897,538,3458,211,91,119,320,50,22,49,98,27,27,768,233,70,47,1076,69,6,151,195,987,915,3332,447,39,0,0,906,28,93,3037,82,63,145,391,59,732,41,236,368,116,621,297,1535,759,125,454,396,223,69,0,1,0,134,778,2,97,126,217,498,343,40,785,292,221,801,19,61,29,4,65,39642,1.02768209072721
GSM2033430,404,49,170,0,541,54,74,35,139,0,13,132,578,152,255,16,57,814,13,82,55,109,116,189,158,774,60,8,20,261,122,24,0,30,92,10,227,36,25,39,95,13,8,136,33,271,275,1238,0,16,2,0,365,28,285,1984,24,63,94,120,215,358,26,173,83,39,410,706,194,158,49,59,115,39,29,23,1,107,31,322,0,40,98,168,419,192,13,248,88,212,414,76,21,1,2,12,22455,1.02766882079315
GSM2033431,1467,81,252,78,1869,339,95,348,191,63,165,863,3321,644,1424,965,44,4507,345,979,589,1302,744,532,1123,3315,635,138,133,373,1049,192,110,240,323,1268,1104,1161,244,573,893,109,370,786,605,1130,2068,6970,101,120,3,197,622,237,481,2653,40,848,764,122,138,1208,130,992,1191,656,1828,3007,831,1237,438,308,380,432,433,249,11,24,423,2067,33,1466,766,190,755,502,374,962,930,1309,1192,227,509,33,18,27,49879,8.58890098949795
GSM2033432,124,61,175,0,464,24,8,11,46,0,22,180,337,330,260,12,29,754,11,41,79,206,158,106,186,897,32,10,82,89,107,58,20,4,21,113,71,187,19,30,655,25,62,128,99,223,391,3576,18,9,0,11,196,21,17,1440,25,84,105,28,13,264,49,148,103,16,46,25,560,884,25,73,64,77,13,81,0,0,44,320,2,61,33,229,712,185,8,248,58,33,299,14,8,2,0,30,8652,0.433653808002724
GSM2033433,1499,125,96,66,539,126,390,80,410,296,297,1059,1605,1825,1039,273,411,3666,832,226,860,2303,678,619,2811,2185,354,0,300,843,1029,245,546,210,192,3203,451,1619,463,229,836,114,878,746,529,1063,1158,7011,360,96,0,0,764,91,59,1259,394,1402,1305,145,80,1713,533,582,1006,486,147,0,1107,2195,365,157,185,729,216,40,2,0,371,3759,19,1415,936,149,700,332,132,682,525,1642,780,523,185,0,6,32,11418,0.00643248107135452
GSM2033434,1279,54,504,226,629,0,26,32,130,0,137,368,2155,169,742,141,63,1543,81,31,589,515,520,428,309,2029,166,65,71,256,264,66,90,12,456,3403,94,199,7,154,1114,0,22,20,151,1,899,5486,187,47,0,0,118,61,0,801,37,327,209,0,162,793,106,201,489,114,20,0,385,2607,259,189,591,187,146,0,1,0,312,1428,1,205,140,0,888,300,1,3,42,44,717,19,57,9,3,18,9670,3.99379969183871
GSM2033435,197,24,241,22,708,116,58,30,44,1,41,304,1166,263,267,151,71,488,26,32,60,256,174,63,383,888,51,34,61,185,138,51,22,148,29,485,128,138,32,17,395,62,31,213,50,906,421,2227,5,11,0,19,617,79,0,1124,16,187,47,35,119,867,26,160,162,28,52,25,664,609,19,223,63,90,21,14,1,0,56,889,4,117,98,102,381,210,8,627,75,119,266,8,38,6,2,29,20629,0.00644575100541411
GSM2033438,849,152,1030,121,781,116,71,387,166,0,320,845,2954,2382,3366,179,537,6368,234,433,702,3661,590,205,1855,3399,222,211,390,187,420,425,612,12,131,1762,320,1914,408,145,673,119,416,536,184,1073,1202,11029,697,318,1,1,278,1,22,3477,260,743,1565,1,195,2522,32,1364,1084,180,336,694,1425,2027,430,467,432,620,100,31,4,1,573,1518,18,323,447,1616,343,585,90,1483,484,307,1713,226,143,36,3,47,36686,0.0064590209394737
GSM2033439,801,82,1078,102,773,329,292,100,186,75,266,957,1790,885,3014,246,208,3551,219,582,629,1938,1042,647,1180,2635,157,153,112,1007,334,116,273,2,406,1569,297,2218,134,265,638,190,0,182,623,757,1336,6612,21,42,130,0,705,202,249,3307,211,569,531,318,112,1005,0,888,820,106,306,17,461,2344,842,739,174,768,393,118,7,80,412,333,4,374,515,761,1582,638,196,763,636,554,1008,452,353,9,8,47,34742,8.58891425943201
GSM2033441,3606,98,1953,0,1108,96,310,390,210,0,150,2045,1895,1094,2797,309,567,8651,364,779,1086,2232,868,1111,2267,3813,437,88,162,898,712,430,242,270,166,1493,915,1182,179,345,1249,290,334,555,1168,2437,2581,10436,826,226,3,3,731,429,51,5740,359,899,1856,456,50,3274,76,2081,1112,484,750,14,1816,3984,1151,181,522,1113,389,84,7,149,509,1472,15,2466,499,681,2247,290,249,2042,1173,3406,2117,461,416,17,6,51,34666,0.00647229087353329
GSM2033442,1102,263,1260,84,1695,71,117,128,38,0,88,725,4031,128,1122,82,43,5149,52,359,255,918,578,471,907,3312,303,204,148,362,514,220,36,221,311,221,740,1071,60,260,974,140,141,236,255,1748,1378,6376,993,76,73,17,350,186,168,7092,198,292,564,230,136,2479,140,581,802,67,1698,4421,2142,1183,159,189,255,337,105,137,0,82,269,1493,8,496,16,1238,1288,638,77,1054,390,173,1559,322,183,37,8,87,29753,1.02765555085909
GSM2033443,2021,36,655,207,1583,102,200,189,146,212,116,900,2553,1897,1699,471,92,5110,72,306,640,1978,1075,316,1642,4280,249,40,204,1019,1885,600,159,247,302,2771,520,1947,237,137,489,285,503,660,513,1875,2157,6341,122,97,6,36,739,49,21,3512,97,1197,1438,943,97,1440,56,1120,735,228,232,12,1442,2665,412,160,533,348,196,0,0,16,648,5273,64,1056,450,1531,599,510,190,920,1358,667,1180,356,54,8,11,36,40035,0.00648556080759288
GSM2033444,1607,66,1698,59,2963,114,281,168,47,46,114,1342,6820,158,2524,159,364,5187,92,776,924,1072,1123,1096,1322,3410,711,137,252,601,1702,255,114,118,501,209,850,2022,104,187,700,117,103,353,509,3550,1851,5947,1139,144,63,4,718,208,73,4557,184,340,584,342,204,1311,232,1123,624,559,1470,4394,1842,2146,311,223,651,402,382,92,1,11,441,3233,9,537,253,897,2588,330,64,2688,711,797,2100,98,197,34,2,115,43826,1.76245078086964
GSM2033446,2254,35,901,0,1687,108,44,245,118,0,93,723,3667,0,2000,496,434,7161,250,365,261,1768,787,473,2199,1943,569,177,84,311,404,124,83,176,602,97,801,932,397,478,598,128,89,89,294,2808,2093,3325,177,368,106,0,356,363,0,3753,84,364,517,316,141,1160,157,1370,592,341,1015,2278,1121,872,290,87,371,96,204,402,4,39,219,4899,1,2085,275,1244,867,377,223,1266,773,1147,1457,12,243,80,20,25,23651,8.58892752936607
GSM2033447,7,310,358,0,1283,37,160,169,166,0,177,1136,2952,636,3500,21,129,2459,110,144,879,738,1069,770,974,2699,465,60,294,2,1349,301,41,31,347,1711,587,1668,156,13,792,566,55,238,5,1168,985,5966,720,100,0,0,243,551,0,1344,268,773,673,704,62,779,5,937,934,154,13,2,1548,1414,580,556,157,129,210,416,1,0,223,2865,34,746,14,2096,1244,153,137,562,1115,385,1009,19,79,17,4,28,35532,4.41337451752832
